News Agency,relevance,hours since published,publish date,title,url
abc.net.au,0,19,"Thu, 18 Feb 2021 13:47:31 +1100",Man with a weapon inside Sunnybank home as siege in Brisbane's south continues,https://www.abc.net.au/news/2021-02-18/qld-police-siege-sunnybank-man-armed/13167972
abc.net.au,0,19,"Thu, 18 Feb 2021 13:41:49 +1100",Naomi Osaka beats Serena Williams to book spot in Australian Open final,https://www.abc.net.au/news/2021-02-18/australian-open-naomi-osaka-defeats-serena-williams/13166342
abc.net.au,0,19,"Thu, 18 Feb 2021 13:21:16 +1100",'How dare you': Tensions within the Liberal Party over abortion bill shared on social media,https://www.abc.net.au/news/2021-02-18/abortion-debate-tensions-boil-over-in-sa-liberal-party/13167374
abc.net.au,0,19,"Thu, 18 Feb 2021 13:10:54 +1100",'Extremely loved' cat loses leg after being shot in Canberra's south,https://www.abc.net.au/news/2021-02-18/police-investigate-after-cat-shot-in-canberra-/13166560
abc.net.au,0,20,"Thu, 18 Feb 2021 12:38:43 +1100",Suspected human bones found at popular Adelaide beach,https://www.abc.net.au/news/2021-02-18/crews-search-beach-after-bones-found-at-maslin-beach/13167550
abc.net.au,0,20,"Thu, 18 Feb 2021 12:15:45 +1100",Prominent Australian artist found dead at 50,https://www.abc.net.au/news/2021-02-18/prominent-artist-jason-benjamin-found-dead-in-murrumbidgee-river/13167074
abc.net.au,0,20,"Thu, 18 Feb 2021 12:11:47 +1100",New era of Australian rugby to kick off with law tweaks and decent crowds,https://www.abc.net.au/news/2021-02-18/new-era-of-australian-rugby-kick-off-law-tweaks-and-decent-crowd/13167100
abc.net.au,0,20,"Thu, 18 Feb 2021 12:10:34 +1100",'An absolute mess': 'Gut-wrenching' bee deaths prompt renewed call for ban on insecticide Fipronil,https://www.abc.net.au/news/2021-02-18/dalby-bee-deaths-spark-fipronil-investigation/13162662
abc.net.au,0,21,"Thu, 18 Feb 2021 11:45:01 +1100","Building boom grinds traffic to a halt, with commuters warned it will only get worse",https://www.abc.net.au/news/2021-02-18/fears-tasmanian-building-boom-will-worsen-traffic-congestion/13163022
abc.net.au,0,21,"Thu, 18 Feb 2021 11:21:31 +1100",Union calls for teachers to be recognised as priority in vaccine rollout,https://www.abc.net.au/news/2021-02-18/qld-teachers-call-for-vaccine-priority/13164534
abc.net.au,0,21,"Thu, 18 Feb 2021 11:04:02 +1100",The advert that left Sydney's Catholic Archbishop outraged,https://www.abc.net.au/news/2021-02-18/sydney-archbishop-outraged-over-use-of-cathedral-for-heaps-gay/13164816
abc.net.au,0,22,"Thu, 18 Feb 2021 10:56:17 +1100",'Time to reactivate my MySpace account': WA Opposition Leader's Facebook account wiped weeks from election,https://www.abc.net.au/news/2021-02-18/facebook-australian-news-ban-hits-wa-election-campaign/13166738
